"COUNTY","TOTAL","FREQ","PER10000","FIP"
"ACCOMACK",33413,38,11.3728189626792,51001
"ALBEMARLE",112395,63,5.60523154944615,51003
"ALEXANDRIA CITY",159467,38,2.38293816275468,51510
"ALLEGHANY",15223,23,15.1087170728503,51005
"AMELIA",13265,18,13.5695439125518,51007
"AMHERST",31307,15,4.79126074040949,51009
"APPOMATTOX",16119,12,7.44463056020845,51011
"ARLINGTON",238643,46,1.92756544294197,51013
"AUGUSTA",77487,46,5.93647966755714,51015
"BATH",4209,16,38.0137799952483,51017
"BEDFORD",79462,55,6.92154740630742,51019
"BLAND",6270,14,22.3285486443381,51021
"BOTETOURT",33596,29,8.63197999761876,51023
"BRISTOL CITY",17219,11,6.38829200301992,51520
"BRUNSWICK",15849,19,11.988138052874,51025
"BUCHANAN",20355,33,16.2122328666175,51027
"BUCKINGHAM",16824,17,10.1046124583928,51029
"BUENA VISTA CITY",6641,6,9.03478391808463,51530
"CAMPBELL",55696,29,5.20683711577133,51031
"CAROLINE",30887,27,8.74154174895587,51033
"CARROLL",29155,31,10.6328245583948,51035
"CHARLES CITY",6773,7,10.335154289089,51036
"CHARLOTTE",11529,14,12.1432908318154,51037
"CHARLOTTESVILLE CITY",46553,27,5.79984104139368,51540
"CHESAPEAKE CITY",249422,84,3.36778632197641,51550
"CHESTERFIELD",364548,82,2.24936085234318,51041
"CLARKE",14783,17,11.499695596293,51043
"COLONIAL HEIGHTS CITY",18170,7,3.85250412768299,51570
"COVINGTON CITY",5737,13,22.6599267910058,51580
"CRAIG",4892,7,14.3090760425184,51045
"CULPEPER",52552,33,6.27949459582889,51047
"CUMBERLAND",9675,10,10.3359173126615,51049
"DANVILLE CITY",42590,35,8.21789152383189,51590
"DICKENSON",14124,20,14.1602945341263,51051
"DINWIDDIE",27947,15,5.36730239381687,51053
"EMPORIA CITY",5766,5,8.67152271938953,51595
"ESSEX",10599,10,9.43485234456081,51057
"FAIRFAX",1150309,146,1.26922418237187,51059
"FAIRFAX CITY",24146,7,2.8990308953864,51600
"FALLS CHURCH CITY",14658,3,2.04666393778142,51610
"FAUQUIER",72972,55,7.53713753220413,51061
"FLOYD",15476,18,11.6309123804601,51063
"FLUVANNA",27249,27,9.90862049983486,51065
"FRANKLIN",54477,36,6.60829340822733,51067
"FRANKLIN CITY",8180,8,9.7799511002445,51620
"FREDERICK",91419,29,3.17220709042978,51069
"FREDERICKSBURG CITY",27982,17,6.07533414337789,51630
"GALAX CITY",6720,14,20.8333333333333,51640
"GILES",16787,32,19.0623696908322,51071
"GLOUCESTER",38711,38,9.81633127534809,51073
"GOOCHLAND",24727,15,6.06624337768431,51075
"GRAYSON",15333,26,16.9568903671819,51077
"GREENE",20552,16,7.78513040093422,51079
"GREENSVILLE",11391,2,1.75577210078132,51081
"HALIFAX",34022,42,12.3449532655341,51083
"HAMPTON CITY",137148,50,3.64569661971009,51650
"HANOVER",109979,47,4.27354313096137,51085
"HARRISONBURG CITY",51814,10,1.9299803142008,51660
"HENRICO",334389,89,2.66157080525974,51087
"HENRY",50948,26,5.10324252178692,51089
"HIGHLAND",2232,9,40.3225806451613,51091
"HOPEWELL CITY",23033,16,6.946554942908,51670
"ISLE OF WIGHT",38606,21,5.43956897891519,51093
"JAMES CITY",78254,44,5.62271577171774,51095
"KING AND QUEEN",6608,12,18.1598062953995,51097
"KING GEORGE",26723,17,6.36156120196086,51099
"KING WILLIAM",17810,10,5.61482313307131,51101
"LANCASTER",10919,12,10.9900174008609,51103
"LEE",22173,32,14.4319668064763,51105
"LEXINGTON CITY",7320,9,12.2950819672131,51678
"LOUDOUN",420959,119,2.82687862713471,51107
"LOUISA",37596,38,10.1074582402383,51109
"LUNENBURG",11936,6,5.02680965147453,51111
"LYNCHBURG CITY",79009,39,4.93614651495399,51680
"MADISON",13837,11,7.949700079497,51113
"MANASSAS CITY",42772,12,2.8055737398298,51683
"MANASSAS PARK CITY",17219,4,2.32301527382543,51685
"MARTINSVILLE CITY",13485,14,10.3819058212829,51690
"MATHEWS",8533,8,9.37536622524317,51115
"MECKLENBURG",30319,22,7.2561759952505,51117
"MIDDLESEX",10625,9,8.47058823529412,51119
"MONTGOMERY",99721,60,6.0167868352704,51121
"NELSON",14775,33,22.3350253807107,51125
"NEW KENT",22945,16,6.97319677489649,51127
"NEWPORT NEWS CITY",186247,52,2.79199128039646,51700
"NORFOLK CITY",238005,102,4.28562425159135,51710
"NORTHAMPTON",12282,12,9.77039570102589,51131
"NORTHUMBERLAND",11839,17,14.3593208885886,51133
"NORTON CITY",3687,9,24.4100895036615,51720
"NOTTOWAY",15642,14,8.95026211481908,51135
"ORANGE",36254,25,6.89579080929001,51137
"PAGE",23709,21,8.85739592559787,51139
"PATRICK",17608,31,17.6056338028169,51141
"PETERSBURG CITY",33458,23,6.87429015482097,51730
"PITTSYLVANIA",60501,35,5.7850283466389,51143
"POQUOSON CITY",12460,5,4.01284109149278,51735
"PORTSMOUTH CITY",97915,44,4.49369350967676,51740
"POWHATAN",30333,13,4.28576138199321,51145
"PRINCE EDWARD",21849,17,7.78067646116527,51147
"PRINCE GEORGE",43010,17,3.95256916996047,51149
"PRINCE WILLIAM",482204,78,1.61757264560228,51153
"PULASKI",33800,35,10.3550295857988,51155
"RADFORD CITY",16070,13,8.08960796515246,51750
"RAPPAHANNOCK",7348,15,20.4137180185084,51157
"RICHMOND",8923,7,7.84489521461392,51159
"RICHMOND CITY",226610,68,3.00075018754689,51760
"ROANOKE",96929,32,3.30138555024812,51161
"ROANOKE CITY",100011,39,3.89957104718481,51770
"ROCKBRIDGE",22650,31,13.6865342163355,51163
"ROCKINGHAM",83757,33,3.93996919660446,51165
"RUSSELL",25781,23,8.9212986307746,51167
"SALEM CITY",25346,18,7.10171230174386,51775
"SCOTT",21576,22,10.1965146459029,51169
"SHENANDOAH",44186,34,7.69474494183678,51171
"SMYTH",29800,25,8.38926174496644,51173
"SOUTHAMPTON",17996,20,11.1135807957324,51175
"SPOTSYLVANIA",140032,68,4.85603290676417,51177
"STAFFORD",156927,75,4.77929228239882,51179
"STAUNTON CITY",25750,21,8.15533980582524,51790
"SUFFOLK CITY",94324,43,4.55875492981638,51800
"SURRY",6561,9,13.7174211248285,51181
"SUSSEX",10829,17,15.6985871271586,51183
"TAZEWELL",40429,42,10.3885824531895,51185
"VIRGINIA BEACH CITY",459470,101,2.19818486517074,51810
"WARREN",40727,23,5.64735924570923,51187
"WASHINGTON",53935,41,7.60174283860202,51191
"WAYNESBORO CITY",22196,9,4.05478464588214,51820
"WESTMORELAND",18477,18,9.74184120798831,51193
"WILLIAMSBURG CITY",15425,12,7.77957860615883,51830
"WINCHESTER CITY",28120,20,7.11237553342816,51840
"WISE",36130,41,11.3479103238306,51195
"WYTHE",28290,28,9.89749027925062,51197
"YORK",70045,31,4.42572631879506,51199
